HostName,Name,IP_DESCRIPTION,DefinitionRecord,IP_PLANT_AREA,IP_ENG_UNITS,IP_VALUE_FORMAT,IP_DC_SIGNIFICANCE,IP_DC_MAX_TIME_INT,IP_GRAPH_MAXIMUM,IP_GRAPH_MINIMUM,IP_STEPPED,IP_MESSAGE_SWITCH,IP_HIGH_HIGH_LIMIT,IP_HIGH_LIMIT,IP_LOW_LIMIT,IP_LOW_LOW_LIMIT,IP_LIMIT_DEADBAND,IP_TREND_VIEW_TIME,IP_REPOSITORY,IP_ARCHIVING,IP_BF_REPOSITORY,IP_BF_ARCHIVING,IP_#_OF_TREND_VALUES,IP_#_OF_BF_VALUES,CIMIO_Definition,CIMIO_Name,CIMIO_IO_RECORD_PROCESSING,CIM_IO_ASYNC,CIMIO_IO_TIMEOUT_VALUE,CIMIO_IO_FREQUENCY,CIMIO_TAG_IO_DATA_TYPE,CIMIO_TAG_IO_VALUE_RECORD,CIMIO_ORIGINAL_Name,IP_VALUE_TIME,IP_VALUE
BEJEMMS01-SV01,FID8700A,Débit ED vers UP,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.029999999329447746,360000.0,30.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8700A IP_INPUT_VALUE,FID8700A,2016-04-07 08:56:23.100,5.099999904632568
BEJEMMS01-SV01,FID8701A,Q Ed vers H2O2,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.029999999329447746,360000.0,30.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8701A IP_INPUT_VALUE,FID8701A,2016-04-07 08:56:23.100,19.31999969482422
BEJEMMS01-SV01,FID8701B,Q Ed vers ATR,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.029999999329447746,360000.0,30.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8701B IP_INPUT_VALUE,FID8701B,2016-04-07 08:56:23.100,9.079999923706055
BEJEMMS01-SV01,DIHE2717B,Densité H2O2 distillée,IP_SLV_ADef,H2O2,kg/m3,F 7. 2,0.009999999776482582,360000.0,1500.0,1000.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,IO1-5-1,1,1,150,50,0,DIHE2717B IP_INPUT_VALUE,DIHE2717B,2025-06-24 23:25:54.300,1141.9974365234375
BEJEMMS01-SV01,FID8703B,Debit Ed vers DSU,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.029999999329447746,360000.0,30.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8703B IP_INPUT_VALUE,FID8703B,2016-04-07 08:56:23.100,7.610000133514404
BEJEMMS01-SV01,FID8704,Eau potable entree usine,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.05000000074505806,360000.0,50.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8704 IP_INPUT_VALUE,FID8704,2016-04-07 08:56:23.100,5.300000190734863
BEJEMMS01-SV01,FID8706A,Debit Ed vers usine,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.03999999910593033,360000.0,40.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8706A IP_INPUT_VALUE,FID8706A,2016-04-07 08:55:38.000,8.430000305175781
BEJEMMS01-SV01,FID8708A,Debit Ed vers rs 450 m3,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.11999999731779099,360000.0,120.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8708A IP_INPUT_VALUE,FID8708A,2016-04-07 08:55:53.100,22.0
BEJEMMS01-SV01,FID8709B,Q eau dilution CH1,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.10000000149011612,360000.0,100.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8709B IP_INPUT_VALUE,FID8709B,2016-04-07 00:01:57.200,0.0
BEJEMMS01-SV01,FID8730B,Q Ed Rs 1200 m3 > PVC 4,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.20000000298023224,360000.0,200.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8730B IP_INPUT_VALUE,FID8730B,2016-04-07 08:56:23.100,85.93628692626953
BEJEMMS01-SV01,FID8730C,Q Ed Rs 1200 m3 > VC,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.029999999329447746,360000.0,30.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8730C IP_INPUT_VALUE,FID8730C,2016-04-07 08:55:53.100,0.0
BEJEMMS01-SV01,FID8730D,Q Ed Rs 1200m3 > Usine 3,IP_SLV_ADef,UPHCL,m3/h,F 7. 2,0.11999999731779099,360000.0,120.0,0.0,0.0,0.0,,,,,,0,DCS_ARC,1,,,2,,IoGetDef,io2-15-3,0,1,600,150,0,FID8730D IP_INPUT_VALUE,FID8730D,2016-04-07 08:56:23.100,35.492958068847656
